CustomerID	NameStyle	Title	FirstName	MiddleName	LastName	Suffix	CompanyName	SalesPerson	EmailAddress	Phone	PasswordHash	PasswordSalt	rowguid	ModifiedDate
1	FALSE	Mr.	Orlando	N.	Gee		A Bike Store	adventure-works\pamela0	orlando0@adventure-works.com	245-555-0173	L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=	1KjXYs4=	{3F5AE95E-B87D-4AED-95B4-C3797AFCB74F}	8/1/2005 0:00
2	FALSE	Mr.	Keith		Harris		Progressive Sports	adventure-works\david8	keith0@adventure-works.com	170-555-0127	YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=	fs1ZGhY=	{E552F657-A9AF-4A7D-A645-C429D6E02491}	8/1/2006 0:00
3	FALSE	Ms.	Donna	F.	Carreras		Advanced Bike Components	adventure-works\jillian0	donna0@adventure-works.com	279-555-0130	LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=	YTNH5Rw=	{130774B1-DB21-4EF3-98C8-C104BCD6ED6D}	9/1/2005 0:00
4	FALSE	Ms.	Janet	M.	Gates		Modular Cycle Systems	adventure-works\jillian0	janet1@adventure-works.com	710-555-0173	ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=	nm7D5e4=	{FF862851-1DAA-4044-BE7C-3E85583C054D}	7/1/2006 0:00
5	FALSE	Mr.	Lucy		Harrington		Metropolitan Sports Supply	adventure-works\shu0	lucy0@adventure-works.com	828-555-0186	KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=	cNFKU4w=	{83905BDC-6F5E-4F71-B162-C98DA069F38A}	9/1/2006 0:00
6	FALSE	Ms.	Rosmarie	J.	Carroll		Aerobic Exercise Company	adventure-works\linda3	rosmarie0@adventure-works.com	244-555-0112	OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=	ihWf50M=	{1A92DF88-BFA2-467D-BD54-FCB9E647FDD7}	9/1/2007 0:00
7	FALSE	Mr.	Dominic	P.	Gash		Associated Bikes	adventure-works\shu0	dominic0@adventure-works.com	192-555-0173	ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=	sPoUBSQ=	{03E9273E-B193-448E-9823-FE0C44AEED78}	7/1/2006 0:00
10	FALSE	Ms.	Kathleen	M.	Garza		Rural Cycle Emporium	adventure-works\jos̩1	kathleen0@adventure-works.com	150-555-0127	Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=	Ls05W3g=	{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD}	9/1/2006 0:00
11	FALSE	Ms.	Katherine		Harding		Sharp Bikes	adventure-works\jos̩1	katherine0@adventure-works.com	926-555-0159	uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=	jpHKbqE=	{750F3495-59C4-48A0-80E1-E37EC60E77D9}	8/1/2005 0:00
12	FALSE	Mr.	Johnny	A.	Caprio	Jr.	Bikes and Motorbikes	adventure-works\garrett1	johnny0@adventure-works.com	112-555-0191	jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=	wVLnvHo=	{947BCAF1-1F32-44F3-B9C3-0011F95FBE54}	8/1/2006 0:00
16	FALSE	Mr.	Christopher	R.	Beck	Jr.	Bulk Discount Store	adventure-works\jae0	christopher1@adventure-works.com	1 (11) 500 555-0132	sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=	8KfYx/4=	{C9381589-D31C-4EFE-8978-8D3449EB1F0F}	9/1/2006 0:00
18	FALSE	Mr.	David	J.	Liu		Catalog Store	adventure-works\michael9	david20@adventure-works.com	440-555-0132	61zeTkO+eI5g8GG0swny8Wp/6GzZMFnT71fnW4lTHNY=	c7Ttvv0=	{C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45}	8/1/2005 0:00
19	FALSE	Mr.	John	A.	Beaver		Center Cycle Shop	adventure-works\pamela0	john8@adventure-works.com	521-555-0195	DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=	zXNgrJw=	{69AE5D43-31BE-4B76-BFBB-5A23C4788BBC}	4/1/2007 0:00
20	FALSE	Ms.	Jean	P.	Handley		Central Discount Store	adventure-works\david8	jean1@adventure-works.com	582-555-0113	o1GVo3vExeNzo0/ctdRGf2eDK3uzTlcUbr18tN+Slf8=	uMsvfdo=	{E010C10A-F1C3-4BBA-81CA-A7E083350400}	9/1/2005 0:00
21	FALSE		Jinghao		Liu		Chic Department Stores	adventure-works\jillian0	jinghao1@adventure-works.com	928-555-0116	IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=	p6pOqKc=	{564E0B42-4609-43DE-9881-914DA433D82D}	9/1/2006 0:00
22	FALSE	Ms.	Linda	E.	Burnett		Travel Systems	adventure-works\jillian0	linda4@adventure-works.com	121-555-0121	23AwhujCoXYSPiN/B+G8Z9rk36xl35EbdLT7akTMTqU=	SmyIPjE=	{9774AED6-D673-412D-B481-2573E470B478}	8/1/2005 0:00
23	FALSE	Mr.	Kerim		Hanif		Bike World	adventure-works\shu0	kerim0@adventure-works.com	216-555-0122	d0WSjosAd7Y3XOWjNAkoTClCb50vwPuAawOSI1iosgs=	33g5co8=	{733F8250-3251-4C2A-8C85-C285BB76B7B4}	9/1/2006 0:00
24	FALSE	Mr.	Kevin		Liu		Eastside Department Store	adventure-works\linda3	kevin5@adventure-works.com	926-555-0164	ylTpkIOHKLcjihNjS0j/k10eOHOsWQMNhlbuOCp+UTY=	TgZnUOg=	{C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD}	9/1/2006 0:00
25	FALSE	Mr.	Donald	L.	Blanton		Coalition Bike Company	adventure-works\shu0	donald0@adventure-works.com	357-555-0161	pKYDelLBOZMO98GBzhMxBSzzE0gUYKx9dXzYTYNuBgw=	jKtOaOw=	{31D03546-FB2A-4488-890E-4709A659E3F0}	9/1/2006 0:00
