CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
1,False,Mr.,Orlando,N.,Gee,,A Bike Store,adventure-works\pamela0,orlando0@adventure-works.com,245-555-0173,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,1KjXYs4=,{3F5AE95E-B87D-4AED-95B4-C3797AFCB74F},8/1/2005 0:00
2,False,Mr.,Keith,,Harris,,Progressive Sports,adventure-works\david8,keith0@adventure-works.com,170-555-0127,YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=,fs1ZGhY=,{E552F657-A9AF-4A7D-A645-C429D6E02491},8/1/2006 0:00
3,False,Ms.,Donna,F.,Carreras,,Advanced Bike Components,adventure-works\jillian0,donna0@adventure-works.com,279-555-0130,LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=,YTNH5Rw=,{130774B1-DB21-4EF3-98C8-C104BCD6ED6D},9/1/2005 0:00
4,False,Ms.,Janet,M.,Gates,,Modular Cycle Systems,adventure-works\jillian0,janet1@adventure-works.com,710-555-0173,ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=,nm7D5e4=,{FF862851-1DAA-4044-BE7C-3E85583C054D},7/1/2006 0:00
5,False,Mr.,Lucy,,Harrington,,Metropolitan Sports Supply,adventure-works\shu0,lucy0@adventure-works.com,828-555-0186,KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=,cNFKU4w=,{83905BDC-6F5E-4F71-B162-C98DA069F38A},9/1/2006 0:00
6,False,Ms.,Rosmarie,J.,Carroll,,Aerobic Exercise Company,adventure-works\linda3,rosmarie0@adventure-works.com,244-555-0112,OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=,ihWf50M=,{1A92DF88-BFA2-467D-BD54-FCB9E647FDD7},9/1/2007 0:00
7,False,Mr.,Dominic,P.,Gash,,Associated Bikes,adventure-works\shu0,dominic0@adventure-works.com,192-555-0173,ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=,sPoUBSQ=,{03E9273E-B193-448E-9823-FE0C44AEED78},7/1/2006 0:00
10,False,Ms.,Kathleen,M.,Garza,,Rural Cycle Emporium,adventure-works\josé1,kathleen0@adventure-works.com,150-555-0127,Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=,Ls05W3g=,{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD},9/1/2006 0:00
11,False,Ms.,Katherine,,Harding,,Sharp Bikes,adventure-works\josé1,katherine0@adventure-works.com,926-555-0159,uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=,jpHKbqE=,{750F3495-59C4-48A0-80E1-E37EC60E77D9},8/1/2005 0:00
12,False,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-works\garrett1,johnny0@adventure-works.com,112-555-0191,jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=,wVLnvHo=,{947BCAF1-1F32-44F3-B9C3-0011F95FBE54},8/1/2006 0:00
16,False,Mr.,Christopher,R.,Beck,Jr.,Bulk Discount Store,adventure-works\jae0,christopher1@adventure-works.com,1 (11) 500 555-0132,sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=,8KfYx/4=,{C9381589-D31C-4EFE-8978-8D3449EB1F0F},9/1/2006 0:00
18,False,Mr.,David,J.,Liu,,Catalog Store,adventure-works\michael9,david20@adventure-works.com,440-555-0132,61zeTkO+eI5g8GG0swny8Wp/6GzZMFnT71fnW4lTHNY=,c7Ttvv0=,{C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45},8/1/2005 0:00
19,False,Mr.,John,A.,Beaver,,Center Cycle Shop,adventure-works\pamela0,john8@adventure-works.com,521-555-0195,DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=,zXNgrJw=,{69AE5D43-31BE-4B76-BFBB-5A23C4788BBC},4/1/2007 0:00
20,False,Ms.,Jean,P.,Handley,,Central Discount Store,adventure-works\david8,jean1@adventure-works.com,582-555-0113,o1GVo3vExeNzo0/ctdRGf2eDK3uzTlcUbr18tN+Slf8=,uMsvfdo=,{E010C10A-F1C3-4BBA-81CA-A7E083350400},9/1/2005 0:00
21,False,,Jinghao,,Liu,,Chic Department Stores,adventure-works\jillian0,jinghao1@adventure-works.com,928-555-0116,IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=,p6pOqKc=,{564E0B42-4609-43DE-9881-914DA433D82D},9/1/2006 0:00
22,False,Ms.,Linda,E.,Burnett,,Travel Systems,adventure-works\jillian0,linda4@adventure-works.com,121-555-0121,23AwhujCoXYSPiN/B+G8Z9rk36xl35EbdLT7akTMTqU=,SmyIPjE=,{9774AED6-D673-412D-B481-2573E470B478},8/1/2005 0:00
23,False,Mr.,Kerim,,Hanif,,Bike World,adventure-works\shu0,kerim0@adventure-works.com,216-555-0122,d0WSjosAd7Y3XOWjNAkoTClCb50vwPuAawOSI1iosgs=,33g5co8=,{733F8250-3251-4C2A-8C85-C285BB76B7B4},9/1/2006 0:00
24,False,Mr.,Kevin,,Liu,,Eastside Department Store,adventure-works\linda3,kevin5@adventure-works.com,926-555-0164,ylTpkIOHKLcjihNjS0j/k10eOHOsWQMNhlbuOCp+UTY=,TgZnUOg=,{C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD},9/1/2006 0:00
25,False,Mr.,Donald,L.,Blanton,,Coalition Bike Company,adventure-works\shu0,donald0@adventure-works.com,357-555-0161,pKYDelLBOZMO98GBzhMxBSzzE0gUYKx9dXzYTYNuBgw=,jKtOaOw=,{31D03546-FB2A-4488-890E-4709A659E3F0},9/1/2006 0:00
28,False,Ms.,Jackie,E.,Blackwell,,Commuter Bicycle Store,adventure-works\josé1,jackie0@adventure-works.com,972-555-0163,wqhgKfOTfef4Zo3cb6FwsFzvG/yCVstuYh3AuwjRszQ=,SZ+r60o=,{9B8A04A4-D909-4F49-B1C5-3DE317D69B2A},8/1/2007 0:00
29,False,Mr.,Bryan,,Hamilton,,Cross-Country Riding Supplies,adventure-works\josé1,bryan2@adventure-works.com,344-555-0144,ftRWIIT4oF+if+ddn1ROYXHw6PAooKFX3uALZ0uEU98=,IRNPDIw=,{ECA7C8FA-490B-4B97-9C32-043C90F789E8},8/1/2005 0:00
30,False,Mr.,Todd,R.,Logan,,Cycle Merchants,adventure-works\garrett1,todd0@adventure-works.com,783-555-0110,FV6z03ywMJOumcU+TEoL/Z/s4YP2fe8B3MJUUTA0CHU=,mFRhaEg=,{2B15DFB1-831E-49E7-B337-395798B129E7},9/1/2006 0:00
34,False,Ms.,Barbara,J.,German,,Cycles Wholesaler & Mfg.,adventure-works\jae0,barbara4@adventure-works.com,1 (11) 500 555-0181,2Pyd3S3Os61yt+lfSjMgSDNwT1LL4Qs51m1ob42We40=,Jvsxxrg=,{9EDDA794-7862-4FF4-B8E2-528847CAB2BD},7/1/2007 0:00
37,False,Mr.,Jim,,Geist,,Two Bike Shops,adventure-works\pamela0,jim1@adventure-works.com,724-555-0161,cvqeC4fJcKwJ9jlluiWvK5/MyuSi8neLnjFDGdvzJy4=,ot8WcXk=,{C6EBB29A-CC67-459C-90E3-339E0F912906},9/1/2006 0:00
38,False,Ms.,Betty,M.,Haines,,Finer Mart,adventure-works\david8,betty0@adventure-works.com,867-555-0114,Q/nGAVzOO1ZT/4+BQ1kwltqQyzycLA2GGmDmBBxLMnM=,6IvcbVg=,{E5EDA3F3-4EF1-4806-BD36-E61F3CB2E044},9/1/2007 0:00
39,False,Ms.,Sharon,J.,Looney,,Fitness Hotel,adventure-works\jillian0,sharon2@adventure-works.com,377-555-0132,Uo3kAuNh936QfPTIfPt6I6Z3+olLMRu5IC5awuzDaG8=,uHgb0IU=,{6808B1ED-3C9A-401D-B284-9AC31166D9EB},9/1/2006 0:00
40,False,Mr.,Darren,,Gehring,,Journey Sporting Goods,adventure-works\jillian0,darren0@adventure-works.com,417-555-0182,kqptixZ7LqTuOKcc7ylpabWrgWr5BDXa2fpkDxEwaCY=,Xe7grug=,{AA5E28F6-16C8-4D80-894E-17531F2CF972},8/1/2005 0:00
41,False,Ms.,Erin,M.,Hagens,,Distant Inn,adventure-works\shu0,erin1@adventure-works.com,244-555-0127,92Sfw/bl0dUJO9SAfoKn452VJcstSo2lgAbSPk97nRA=,8soIcx8=,{E1BA20ED-DA19-4392-A8A8-C2E670438FFB},7/1/2006 0:00
42,False,Mr.,Jeremy,,Los,,Healthy Activity Store,adventure-works\linda3,jeremy0@adventure-works.com,911-555-0165,jLMkpmNutZFzWw7sSWZeqd91vtlRwaWx2Ub21mhsvlU=,JK9/WX8=,{64ACD300-337D-4D39-A2C4-FD5972611934},7/1/2006 0:00
43,False,Ms.,Elsa,,Leavitt,,Frugal Bike Shop,adventure-works\shu0,elsa0@adventure-works.com,482-555-0174,BmJaM+147GrhU00kNTtaTolp0EJcarJK/SCfew4ZiYA=,YADhpPo=,{9E449D3E-5D79-4F65-A4F1-10DD3B0E0766},8/1/2006 0:00
46,False,Mr.,David,O,Lawrence,,Gear-Shift Bikes Limited,adventure-works\josé1,david19@adventure-works.com,653-555-0159,HyZexVTTLfKfhx/Sb+XHQb4vta2LC1FD3OYIkpmzMlQ=,/kc6RdY=,{21849ECF-88C2-4574-89D5-397B84DF1D0F},12/1/2006 0:00
47,False,Ms.,Hattie,J.,Haemon,,Greater Bike Store,adventure-works\josé1,hattie0@adventure-works.com,141-555-0172,RLemw98UkhyklI9z6Kx01t3fpE6z6E9v5GdRReTdOIY=,8n38uVg=,{0D9ABE85-D952-432D-831A-8BEB7F4E49D0},9/1/2005 0:00
48,False,Ms.,Anita,R.,Lucerne,,Grand Industries,adventure-works\garrett1,anita0@adventure-works.com,164-555-0118,YYTwMHBzX9ZM2XoYAzTo7bVfsHm05BO3Sl1+sokcRjM=,Zb6O1a0=,{E656589A-198F-454F-B02F-9CE324457BDF},9/1/2007 0:00
52,False,Ms.,Rebecca,,Laszlo,,Instruments and Parts Company,adventure-works\jae0,rebecca2@adventure-works.com,1 (11) 500 555-0155,ox4SPBzzVPKyCVoIcZvkdVLtnQlKoDXCciBGcqVAfrI=,n7ydrrc=,{8FB34B30-B19D-4AEC-B02E-F1BE942800E5},9/1/2007 0:00
55,False,Mr.,Eric,,Lang,,Kickstands and Accessories Company,adventure-works\pamela0,eric6@adventure-works.com,932-555-0163,katp5sn21ZqJq5Z26YRBk9XXP3iFjpsX7tNPYAAxZlI=,xw9RymE=,{F5D3997B-AD06-46A0-94AF-A4460F4BE471},9/1/2007 0:00
56,False,Mr.,Brian,,Groth,,Latest Accessories Sales,adventure-works\david8,brian5@adventure-works.com,461-555-0118,tbk7TwAC5jsqEhFRRIhnL9kPBoTy3XS+EjlReKVp5mw=,hpOsvJU=,{570B1682-9BB1-4359-984D-8F728E3D6973},8/1/2006 0:00
57,False,Ms.,Judy,R.,Lundahl,,Leading Sales & Repair,adventure-works\jillian0,judy1@adventure-works.com,260-555-0130,VzG/BDjkh2mMWAn2eZ/FQDI5/pGurtzdCfxTaCf6zAs=,N5Ajt+s=,{7FF17923-E670-4F42-87A3-A6D1AF18EA05},9/1/2005 0:00
58,False,Mr.,Peter,,Kurniawan,,Largest Bike Store,adventure-works\jillian0,peter4@adventure-works.com,436-555-0160,el1s9e+hWeb+79bwrhU+hxHEyJN+j6tR8vWyKJDZmTs=,QgzjTPU=,{E324FEE8-1EE7-4B96-854E-CFDA7B0CBBC8},11/1/2005 0:00
59,False,Mr.,Douglas,,Groncki,,Locks Company,adventure-works\shu0,douglas2@adventure-works.com,385-555-0140,J9nhrWh6kpc/dGBkN7HRxrrbquy1Rit9UMPv9rbYjBs=,KiAAI5M=,{60708606-604C-44BE-90E1-3A0925B8060E},9/1/2007 0:00
60,False,Mr.,Sean,J.,Lunt,,Main Bicycle Services,adventure-works\linda3,sean4@adventure-works.com,183-555-0111,NCIEHFdWOrgXFDd6SE817buY5XNWSBCQZlOsgOGIP2E=,eK6Wzw0=,{A029F31E-433B-4FA4-B442-B291D16A1B9F},9/1/2007 0:00
61,False,Mr.,Jeffrey,,Kurtz,,Many Bikes Store,adventure-works\shu0,jeffrey3@adventure-works.com,452-555-0179,zn3Nk0+i/zyvxFNh3OziN2Pxa3NfiIlVMJ9Ox86ytao=,5MZXwF4=,{CCC53B43-66A6-47F6-A38E-5DD7CFAFEAA6},9/1/2006 0:00
64,False,Mr.,Vamsi,,Kuppa,,Metal Clearing House,adventure-works\josé1,vamsi1@adventure-works.com,290-555-0196,6p4SZnWdWPrBclHkaWFeooblNWE+Y4VJiuTM9hyonDI=,HaDRSbY=,{E6B6F92D-4AC6-4BC7-BF6B-2F3C67498DE7},8/1/2007 0:00
65,False,Ms.,Jane,P.,Greer,,Metro Manufacturing,adventure-works\josé1,jane2@adventure-works.com,737-555-0163,gCWE10xc3haq9E82Ksvg2GS6WBBD0H0ZF25YAS0CfJ8=,qxbTTkE=,{7E082443-8AF6-4BB6-A0F5-1586271D1F2C},8/1/2006 0:00
